Epoch,Distributed Loss,Centralized Loss,Distributed Train Loss,Distributed Train Accuracy,Distributed Test Accuracy,Centralized Test Accuracy,Fit Runtime (s),Evaluate Runtime (s),Optimizer,Learning Rate,Batch Size,Clients,Sampled Clients Per Round,Evaluate Clients Per Round,LDA Alpha,BackPack Extension,Task,Model,Date
7,0.06271712575107813,0.059758708064816896,0.14490351021032186,0.7808155267332276,0.8330508474576271,0.8236,66.0,1.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
8,0.056242604034368766,0.05600493474602699,0.13312662968613137,0.804327550830069,0.8542372881355932,0.8352,63.0,0.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
9,0.06014200297689413,0.05451104284087196,0.13012822758127654,0.8092793129200896,0.8355932203389831,0.8397,67.0,0.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
10,0.05229416812880565,0.053379149378929285,0.12639693587888948,0.8143483533911745,0.8677966101694915,0.8469,66.0,1.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
11,0.05566502679218301,0.05101204157336615,0.12207071061039378,0.825592240253684,0.8398305084745763,0.8521,66.0,1.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
12,0.04974008091504417,0.050654497966449705,0.11984410559717602,0.8229915088177662,0.8635593220338983,0.8546,66.0,1.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
13,0.05122100324922446,0.04931803290070966,0.11383290623374076,0.8310161425772138,0.8601694915254238,0.8602,63.0,0.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
14,0.050097734432951624,0.048047449989803134,0.1122611572308935,0.8357429344277586,0.8737288135593221,0.8621,66.0,1.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
15,0.04808015897870064,0.04679036167194135,0.10844811929146982,0.8434060809550457,0.8584745762711864,0.8657,63.0,0.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
16,0.04585177683571385,0.04635427898289636,0.10758158881124111,0.8448903406439571,0.8745762711864407,0.866,67.0,0.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
17,0.05119888485346179,0.045137115789437667,0.10344647645390871,0.8501212460361873,0.8559322033898306,0.87,66.0,0.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
18,0.04500229962256942,0.04462754200578201,0.10220341844626446,0.8506251166262362,0.8771186440677966,0.8716,66.0,1.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
19,0.04256987068881044,0.04383802933278494,0.100200538467562,0.8533992352886319,0.8847457627118644,0.8733,66.0,0.0,diag_exact,0.01,4,100,20,20,100.0,DiagGGNExact,FMNIST,CNN,/2024-03-19/18-20-01
